Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL.1.10,CopiesPer20uLWell,ConcentrationPeruL,ConcentrationPerGSample,AcceptedDroplets
118,6,118-R,CC4-pre-inoc-1-2mos-6-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.4,48,24,84000,18248
118,6,118-S,CC4-pre-inoc-1-2mos-6-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.13,2.6,1.3,4550,17707
124,7,124-R,CC4-pre-inoc-1-2mos-7-R,CC4,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.5,130,65,227500,15676
124,7,124-S,CC4-pre-inoc-1-2mos-7-S,CC4,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.07,1.4,0.7,2450,16422
5,1,5-R,CC4-pre-inoc-1-4mos-1-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,18.6,372,186,651000,15775
5,1,5-S,CC4-pre-inoc-1-4mos-1-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1,20,10,35000,17058
24,2,24-R,CC4-pre-inoc-1-4mos-2-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,1.1,22,11,38500,18555
24,2,24-S,CC4-pre-inoc-1-4mos-2-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.81,16.2,8.1,28350,17476
57,3,57-R,CC4-pre-inoc-1-4mos-3-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.2,124,62,217000,15865
57,3,57-S,CC4-pre-inoc-1-4mos-3-S,CC4,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.07,1.4,0.7,2450,16867
63,4,63-R,CC4-pre-inoc-1-4mos-4-R,CC4,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,2.3,46,23,80500,17666
