Unit,Block,SampleNo.,SampleName,AMFIsolate,ColonizationRegion,HarvestTime,Treatment,InoculationTreatment,InoculationTiming,ConcentrationPeruL,ConcentrationPerGSample,Presence
83,5,83-R,Cuba8-pre-inoc-2-4mos-5-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,8.3,29050,1
83,5,83-S,Cuba8-pre-inoc-2-4mos-5-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.9,24150,1
109,6,109-R,Cuba8-pre-inoc-2-4mos-6-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,7.7,26950,1
109,6,109-S,Cuba8-pre-inoc-2-4mos-6-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,13,45500,1
138,7,138-R,Cuba8-pre-inoc-2-4mos-7-R,Cuba8,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,40,140000,1
138,7,138-S,Cuba8-pre-inoc-2-4mos-7-S,Cuba8,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,19,66500,1
11,1,11-R,DAOM197198-co-inoc-2mos-1-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.8,2800,1
11,1,11-S,DAOM197198-co-inoc-2mos-1-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
21,2,21-R,DAOM197198-co-inoc-2mos-2-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,18,63000,1
21,2,21-S,DAOM197198-co-inoc-2mos-2-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
51,3,51-R,DAOM197198-co-inoc-2mos-3-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,2,7000,1
51,3,51-S,DAOM197198-co-inoc-2mos-3-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.8,2800,1
67,4,67-R,DAOM197198-co-inoc-2mos-4-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.2,4200,1
67,4,67-S,DAOM197198-co-inoc-2mos-4-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.6,2100,1
100,5,100-R,DAOM197198-co-inoc-2mos-5-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.5,5250,1
100,5,100-S,DAOM197198-co-inoc-2mos-5-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,10,35000,1
113,6,113-R,DAOM197198-co-inoc-2mos-6-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.8,2800,1
113,6,113-S,DAOM197198-co-inoc-2mos-6-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
136,7,136-R,DAOM197198-co-inoc-2mos-7-R,DAOM197198,Roots,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1,3500,1
136,7,136-S,DAOM197198-co-inoc-2mos-7-S,DAOM197198,Soil,2,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.3,4550,1
4,1,4-R,DAOM197198-co-inoc-4mos-1-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.2,4200,1
4,1,4-S,DAOM197198-co-inoc-4mos-1-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1,3500,1
36,2,36-R,DAOM197198-co-inoc-4mos-2-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
36,2,36-S,DAOM197198-co-inoc-4mos-2-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0.7,2450,1
54,3,54-R,DAOM197198-co-inoc-4mos-3-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,8,28000,1
54,3,54-S,DAOM197198-co-inoc-4mos-3-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
72,4,72-R,DAOM197198-co-inoc-4mos-4-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,7,24500,1
72,4,72-S,DAOM197198-co-inoc-4mos-4-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
99,5,99-R,DAOM197198-co-inoc-4mos-5-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
99,5,99-S,DAOM197198-co-inoc-4mos-5-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
114,6,114-R,DAOM197198-co-inoc-4mos-6-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.3,8050,1
114,6,114-S,DAOM197198-co-inoc-4mos-6-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,0,0,0
122,7,122-R,DAOM197198-co-inoc-4mos-7-R,DAOM197198,Roots,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,2.5,8750,1
122,7,122-S,DAOM197198-co-inoc-4mos-7-S,DAOM197198,Soil,4,Co-inoculation,non-colonized roots + AMF,co-inoculation,1.5,5250,1
10,1,10-R,DAOM197198-pre-inoc-1-2mos-1-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,226,791000,1
10,1,10-S,DAOM197198-pre-inoc-1-2mos-1-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,81,283500,1
38,2,38-R,DAOM197198-pre-inoc-1-2mos-2-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,450,1575000,1
38,2,38-S,DAOM197198-pre-inoc-1-2mos-2-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.7,2450,1
41,3,41-R,DAOM197198-pre-inoc-1-2mos-3-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,57,199500,1
41,3,41-S,DAOM197198-pre-inoc-1-2mos-3-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,224,784000,1
61,4,61-R,DAOM197198-pre-inoc-1-2mos-4-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,12,42000,1
61,4,61-S,DAOM197198-pre-inoc-1-2mos-4-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0
86,5,86-R,DAOM197198-pre-inoc-1-2mos-5-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,25,87500,1
86,5,86-S,DAOM197198-pre-inoc-1-2mos-5-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.6,2100,1
102,6,102-R,DAOM197198-pre-inoc-1-2mos-6-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,177,619500,1
102,6,102-S,DAOM197198-pre-inoc-1-2mos-6-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0
135,7,135-R,DAOM197198-pre-inoc-1-2mos-7-R,DAOM197198,Roots,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,5.2,18200,1
135,7,135-S,DAOM197198-pre-inoc-1-2mos-7-S,DAOM197198,Soil,2,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0
2,1,2-R,DAOM197198-pre-inoc-1-4mos-1-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.6,2100,1
2,1,2-S,DAOM197198-pre-inoc-1-4mos-1-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,3.2,11200,1
37,2,37-R,DAOM197198-pre-inoc-1-4mos-2-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0
37,2,37-S,DAOM197198-pre-inoc-1-4mos-2-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,112,392000,1
45,3,45-R,DAOM197198-pre-inoc-1-4mos-3-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,19,66500,1
45,3,45-S,DAOM197198-pre-inoc-1-4mos-3-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.7,2450,1
64,4,64-R,DAOM197198-pre-inoc-1-4mos-4-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,16,56000,1
64,4,64-S,DAOM197198-pre-inoc-1-4mos-4-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.9,3150,1
93,5,93-R,DAOM197198-pre-inoc-1-4mos-5-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.7,23450,1
93,5,93-S,DAOM197198-pre-inoc-1-4mos-5-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,20,70000,1
108,6,108-R,DAOM197198-pre-inoc-1-4mos-6-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,53,185500,1
108,6,108-S,DAOM197198-pre-inoc-1-4mos-6-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0,0,0
128,7,128-R,DAOM197198-pre-inoc-1-4mos-7-R,DAOM197198,Roots,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,6.7,23450,1
128,7,128-S,DAOM197198-pre-inoc-1-4mos-7-S,DAOM197198,Soil,4,Pre-inoculation-1,pre-colonized roots,pre-inoculation,0.6,2100,1
18,1,18-R,DAOM197198-pre-inoc-2-2mos-1-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,66,231000,1
18,1,18-S,DAOM197198-pre-inoc-2-2mos-1-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,3.8,13300,1
30,2,30-R,DAOM197198-pre-inoc-2-2mos-2-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,1260,4410000,1
30,2,30-S,DAOM197198-pre-inoc-2-2mos-2-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,23,80500,1
55,3,55-R,DAOM197198-pre-inoc-2-2mos-3-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,8,28000,1
55,3,55-S,DAOM197198-pre-inoc-2-2mos-3-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,4.3,15050,1
66,4,66-R,DAOM197198-pre-inoc-2-2mos-4-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,3.4,11900,1
66,4,66-S,DAOM197198-pre-inoc-2-2mos-4-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0,0,0
94,5,94-R,DAOM197198-pre-inoc-2-2mos-5-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.6,23100,1
94,5,94-S,DAOM197198-pre-inoc-2-2mos-5-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,2.9,10150,1
119,6,119-R,DAOM197198-pre-inoc-2-2mos-6-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,350,1225000,1
119,6,119-S,DAOM197198-pre-inoc-2-2mos-6-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0,0,0
131,7,131-R,DAOM197198-pre-inoc-2-2mos-7-R,DAOM197198,Roots,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,6.7,23450,1
131,7,131-S,DAOM197198-pre-inoc-2-2mos-7-S,DAOM197198,Soil,2,Pre-inoculation-2,pre-colonized roots + AMF,combination,0,0,0
12,1,12-R,DAOM197198-pre-inoc-2-4mos-1-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,26,91000,1
12,1,12-S,DAOM197198-pre-inoc-2-4mos-1-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.4,4900,1
34,2,34-R,DAOM197198-pre-inoc-2-4mos-2-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.8,2800,1
34,2,34-S,DAOM197198-pre-inoc-2-4mos-2-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,2.7,9450,1
43,3,43-R,DAOM197198-pre-inoc-2-4mos-3-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,9,31500,1
43,3,43-S,DAOM197198-pre-inoc-2-4mos-3-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,115,402500,1
73,4,73-R,DAOM197198-pre-inoc-2-4mos-4-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,88,308000,1
73,4,73-S,DAOM197198-pre-inoc-2-4mos-4-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.7,2450,1
81,5,81-R,DAOM197198-pre-inoc-2-4mos-5-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.9,3150,1
81,5,81-S,DAOM197198-pre-inoc-2-4mos-5-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.7,2450,1
120,6,120-R,DAOM197198-pre-inoc-2-4mos-6-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0.8,2800,1
120,6,120-S,DAOM197198-pre-inoc-2-4mos-6-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,1.2,4200,1
137,7,137-R,DAOM197198-pre-inoc-2-4mos-7-R,DAOM197198,Roots,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,32,112000,1
137,7,137-S,DAOM197198-pre-inoc-2-4mos-7-S,DAOM197198,Soil,4,Pre-inoculation-2,pre-colonized roots + AMF,combination,0,0,0
